content,score
selalu sesuai,5
menyenangkat,4
banyakin promo nya min😹,5
cepat tepat,5
haha lucuu udah sampe yg ke 3x di blokir payleter sama gopay pinjam .. pas di bayar langsung gak bisa di pake lagi .. bertaun taun pake gojekk .. muak juga gak bisa liat konsumen lama atau konsumen baru .. hati hati di gojek gak ada yg nama nya konsumen prioritas walau pun riwayat kita di aplikasi dia 100℅ bagussss,1
makasih gojek selalu ada di saat aku membutuhkan 🥰,5
Mantap cuy cuman diskon saya ga pernah dapet :),5
"nyari go send dapat drivernya lama, kecewa",1
sangat terbantu sekali,5
"makin banyak diskon,kebantu bgt kalo lagi ada acara",5
driver nya ramah.. yang pasti aplikasinya sangat membantu.👍👍👍 trimakasih.,5
sesuai aplikasi informasinya jelas detail dan akurat terpercaya terima kasih developer 😊😊😊,5
👍,5
"aaihhh,, Proses penyelesaian kendala teknisnya lemot..",1
jaringan apk y lemot tolong di perbaiki sering terjadi eror.,5
secara keseluruhan aplikasinya bagus tampilan memudahkan drivernya berpengalaman,5
Terima kasih gojek karena gampang login hanya make verifikasi wajah itu sangat menyelamatkan ku,5
okeee,5
aplikasi sangat penting bagi transfortasi kita semuanya,5
"saya sbgai customer kecewa di saya ongkos 24ribu tetapi saya tnya ke driver dapatnya cuma 14ribu dari kramat 7 ke Thamrin City terlalu gede ambil potongannya, driver modal motor, bensin, hp n kuato blm lagi beli spart part yg skrg sdh pada naik semua itu driver yg tanggung bukan aplikator,layanan hemat dpt drivernya jauh jauh",5
pelayanan cepat dan aman,5
good,5
mantab,5
mau daftar aja susah gak jelas,1
goboxnya andalan,5
bagus,5
saya sangat suka aplikasi ini,5
bagua sopan cepat aman,5
"Kukira dengan Prioritas Beneran bisa jemput lebih cepat, ternyata enggak juga😮‍💨",1
makin kesini gojek makin payah. tiap belanja online kiriman pake gojek instan pasi sampe 2 hari baru dapet driver. pas tanya sama drivernya juga katnya sekarang kalo kelamaan gak pick up orderan cancel sendiri. mana drivernya bawa 3 orderan sy pake instan knpa jadi nya multi jadi makan lama.GOJEK PAYAH.,1
bagus,5
sangat buruk sekali,1
Setiap hari dapat telpon spam nawarin gopaypinjam. Tolong ini sangat menggangu,1
bagus banget salalu ada promo tapi promo nya buat orang kaya aja😢,5
lebih murah,5
"ko di aplikasi ini banyak banget manusia manusia kere dan miskin yah,mau makan gratis dan gak mau bayar tapi menyelakan driver, yang jelas gak mungkin driver gak mengatar makan yang kalina pesan paling hebat orang miskin beli di bawah 100k sedangkan diatas 100k pihak gojek pasti mengkonfirmasi kebenaran ,dan ada akun atas nama dolar jalan bandung no 1 Menteng bayar kurang tapi laporan monta uang lebih ini salah satu manusia miskin",1
ongkir mahal daripada barang upil,1
id ktp saya dipake orang. mohon bantuannya min.,1
"udah pake ojek dari jaman 2017, baru sekarang nih ngerasa kecewa banget sama pelayanan ojek, 2x orderan dicancel driver, orderan selanjutnya malah dapet jemputan yang jauh, buang buang waktu banget.",1
mantul,5
Mantap,5
mantap drivernya.sat set.amanah,5
sangat menolong saat dibutuhkan,5
mantap,5
ok,5
"TUHAN YESUS Memberkati, Amin. 🙏🙂",5
aplikasi gojek tidak terhenti terus padahal penyimpanan masih kosong,5
sedikit kecewa ...saya pesen goshop bayar gopay...tapi lupa malah tambah bayar cash...gojek pun gak amanah..langsung kabur...mana ranting gak bisa saya rubah untuk kasih ranting 1....mohon bantuanya ... untuk driver atas nama ELI WAHHYUDI SETIAWAN.DENGAN PLAT NO DK 5590FBH...di nonaktifkan ...sebelum uang saya kembali,1
